elapsed,label,responseCode,responseMessage,threadName,success,failureMessage
1398,Create Project,201,Created,Normal Client - Survey Flow 1-1,true,
183,Project PUT,200,OK,Normal Client - Survey Flow 1-1,true,
144,Project GET,200,OK,Normal Client - Survey Flow 1-1,true,
423,Create Group,201,Created,Normal Client - Survey Flow 1-1,true,
399,Group PUT,200,OK,Normal Client - Survey Flow 1-1,true,
212,Group GET,200,OK,Normal Client - Survey Flow 1-1,true,
183,Channel PUT,200,OK,Normal Client - Survey Flow 1-1,true,
183,Channel GET,200,OK,Normal Client - Survey Flow 1-1,true,
252,PanelDashboard,200,OK,Normal Client - Survey Flow 1-1,true,
203,PanelDashboard GET,200,OK,Normal Client - Survey Flow 1-1,true,
206,LiveCloseSettings,200,OK,Normal Client - Survey Flow 1-1,true,
270,LiveCloseSettings GET,200,OK,Normal Client - Survey Flow 1-1,true,
197,PanelShield,200,OK,Normal Client - Survey Flow 1-1,true,
142,PanelShield GET,200,OK,Normal Client - Survey Flow 1-1,true,
344,SurveyUrl,200,OK,Normal Client - Survey Flow 1-1,true,
114,SurveyUrl GET,200,OK,Normal Client - Survey Flow 1-1,true,
255,Status,200,OK,Normal Client - Survey Flow 1-1,true,
121,Status GET,200,OK,Normal Client - Survey Flow 1-1,true,
136,Soft Fail,200,OK,Normal Client - Survey Flow 1-1,true,
113,Bonus,200,OK,Normal Client - Survey Flow 1-1,true,
222,Copy Project,500,Internal Server Error,Normal Client - Survey Flow 1-1,false,Response was null
1,Delete Project,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${copy_project_id}': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
702,Group Encode,200,OK,Normal Client - Survey Flow 1-1,true,
273,Project Encode,200,OK,Normal Client - Survey Flow 1-1,true,
315,Client Encode,200,OK,Normal Client - Survey Flow 1-1,true,
746,/index.php,200,OK,Normal Client - Survey Flow 1-1,true,
364,/dashboard.php,200,OK,Normal Client - Survey Flow 1-1,true,
2555,/getDashboard.php,200,OK,Normal Client - Survey Flow 1-1,true,
1566,/get4sDashboard.php,200,OK,Normal Client - Survey Flow 1-1,true,
180,Click Survey 1,302,Found,Normal Client - Survey Flow 1-1,true,
321,Click Survey 2,302,Found,Normal Client - Survey Flow 1-1,true,
27,Redirect,302,Found,Normal Client - Survey Flow 1-1,true,
532,/ssred.php,200,OK,Normal Client - Survey Flow 1-1,true,
415,Dashboard after complete,200,OK,Normal Client - Survey Flow 1-1,true,
237,Status Close,200,OK,Normal Client - Survey Flow 1-1,true,
105,Status GET Close,200,OK,Normal Client - Survey Flow 1-1,true,
16645,Stats,200,OK,Normal Client - Survey Flow 1-1,true,
310,Completes,200,OK,Normal Client - Survey Flow 1-1,true,
320,Review Completes,200,OK,Normal Client - Survey Flow 1-1,true,
370,Review History,200,OK,Normal Client - Survey Flow 1-1,true,
20602,Undo Review History,200,OK,Normal Client - Survey Flow 1-1,true,
317,Review Completes,200,OK,Normal Client - Survey Flow 1-1,true,
1436,Complete Project,200,OK,Normal Client - Survey Flow 1-1,true,
189,Status Check Complete,200,OK,Normal Client - Survey Flow 1-1,true,
333,Project History,200,OK,Normal Client - Survey Flow 1-1,true,
164,Get ethnicities,200,OK,Basic Get 2-1,true,
173,Get countries,200,OK,Basic Get 2-2,true,
140,Get languages,200,OK,Basic Get 2-3,true,
183,Get educations,200,OK,Basic Get 2-4,true,
190,Get incomeLevels,200,OK,Basic Get 2-5,true,
197,Get employmentLevels,200,OK,Basic Get 2-6,true,
165,Get categories,200,OK,Basic Get 2-7,true,
158,Get timezones,200,OK,Basic Get 2-8,true,
161,Get industries,200,OK,Basic Get 2-9,true,
166,Get maritalStatus,200,OK,Basic Get 2-10,true,
383,Get client/profileQnsAns/48,422,Unprocessable Entity,Profiles and Channels 3-1,false,
190,Get client/profiles,200,OK,Profiles and Channels 3-2,true,
235,Get client/profiles/48/questions,200,OK,Profiles and Channels 3-3,true,
205,Get client/profiles/48/questions/261/answers,200,OK,Profiles and Channels 3-4,true,
131,Get client/publisherPLSites,200,OK,Profiles and Channels 3-5,true,
268,Get client/channels,200,OK,Profiles and Channels 3-6,true,
288,Get /client/profileQnsAns/77,422,Unprocessable Entity,Extra Profiles and Misc 4-1,false,
288,Get /client/profileQnsAns/77,422,Unprocessable Entity,Extra Profiles and Misc 4-2,false,
244,Get client/profiles/77/questions,200,OK,Extra Profiles and Misc 4-3,true,
242,Get client/profiles/77/questions,200,OK,Extra Profiles and Misc 4-4,true,
179,Get client/publisherPLSites,200,OK,Extra Profiles and Misc 4-5,true,
181,Get client/channels,200,OK,Extra Profiles and Misc 4-6,true,
186,Get client/defaultSettings,200,OK,Extra Profiles and Misc 4-7,true,
110,Get client/additionalEmployees,200,OK,Extra Profiles and Misc 4-8,true,
536,Get client/projects,200,OK,Extra Profiles and Misc 4-9,true,
125,Get client/salesRepresentatives,200,OK,Extra Profiles and Misc 4-10,true,
122,Get client/projectManagers,200,OK,Extra Profiles and Misc 4-11,true,
155,Get jobRoles,200,OK,Countries 5-1,true,
157,Get jobRoles/1/jobTitles,200,OK,Countries 5-2,true,
130,Get countries/254/states/137/counties,200,OK,Countries 5-3,true,
188,Get countries/43/states/35/cities,200,OK,Countries 5-4,true,
133,Get countries/254/states/137/counties/3014/cities,200,OK,Countries 5-5,true,
136,Get countries/254/regions,200,OK,Countries 5-6,true,
144,Get countries/254/states,200,OK,Countries 5-7,true,
483,US English Feasibility,200,OK,Criteria 1 6-1,true,
2400,Demographic Criteria,200,OK,Criteria 2 7-1,true,
430,Geo Criteria,200,OK,Criteria 3 8-1,true,
5776,Profile Criteria,200,OK,Criteria 4 9-1,true,
180,Member Search,200,OK,Member Search 10-1,true,
629,Profile Search,200,OK,Profile Search 11-1,true,
