timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1299066553259,137,Rest Sampler,200,OK,Client Get 4-1,text,true,729,136
1299066554179,44,Rest Sampler,200,OK,Client Get 4-2,text,true,6967,43
1299066555088,58,Rest Sampler,422,Unprocessable Entity,Client Get 4-3,text,false,55,58
1299066555995,40,Rest Sampler,422,Unprocessable Entity,Client Get 4-4,text,false,55,40
1299066556904,64,Rest Sampler,200,OK,Client Get 4-5,text,true,508,64
1299066557813,46,Rest Sampler,200,OK,Client Get 4-6,text,true,612,46
1299066558760,43,Rest Sampler,200,OK,Client Get 4-7,text,true,176,43
1299066559630,48,Rest Sampler,200,OK,Client Get 4-8,text,true,206,48
1299066560534,95,Rest Sampler,200,OK,Client Get 4-9,text,true,37822,80
1299066561443,52,Rest Sampler,200,OK,Client Get 4-10,text,true,74,52
1299066562351,42,Rest Sampler,200,OK,Client Get 4-11,text,true,119,42
1299067561296,67,Rest Sampler,200,OK,Client Get 4-1,text,true,729,66
1299067562201,52,Rest Sampler,200,OK,Client Get 4-2,text,true,6967,52
1299067563112,38,Rest Sampler,422,Unprocessable Entity,Client Get 4-3,text,false,55,38
1299067564020,65,Rest Sampler,422,Unprocessable Entity,Client Get 4-4,text,false,55,65
1299067564929,33,Rest Sampler,200,OK,Client Get 4-5,text,true,508,32
1299067565840,45,Rest Sampler,200,OK,Client Get 4-6,text,true,612,44
1299067566758,43,Rest Sampler,200,OK,Client Get 4-7,text,true,176,43
1299067567665,43,Rest Sampler,200,OK,Client Get 4-8,text,true,206,43
1299067568574,101,Rest Sampler,200,OK,Client Get 4-9,text,true,38001,80
1299067569483,30,Rest Sampler,200,OK,Client Get 4-10,text,true,74,29
1299067570392,47,Rest Sampler,200,OK,Client Get 4-11,text,true,119,46
1299069638820,41,Rest Sampler,200,OK,Client Get 4-1,text,true,729,40
1299069639727,59,Rest Sampler,200,OK,Client Get 4-2,text,true,6967,58
1299069640635,35,Rest Sampler,422,Unprocessable Entity,Client Get 4-3,text,false,55,35
1299069641544,56,Rest Sampler,422,Unprocessable Entity,Client Get 4-4,text,false,55,56
1299069642455,25,Rest Sampler,200,OK,Client Get 4-5,text,true,508,24
1299069643363,48,Rest Sampler,200,OK,Client Get 4-6,text,true,612,47
1299069644273,22,Rest Sampler,200,OK,Client Get 4-7,text,true,176,22
1299069645187,58,Rest Sampler,200,OK,Client Get 4-8,text,true,206,58
1299069646096,78,Rest Sampler,200,OK,Client Get 4-9,text,true,38180,75
1299069647005,42,Rest Sampler,200,OK,Client Get 4-10,text,true,74,42
1299069647914,45,Rest Sampler,200,OK,Client Get 4-11,text,true,119,44
1299123706055,82,Rest Sampler,200,OK,Client Get 4-1,text,true,729,82
