elapsed,label,responseCode,responseMessage,threadName,success,failureMessage
1651,Create Project,201,Created,Normal Client - Survey Flow 1-1,true,
202,Project PUT,200,OK,Normal Client - Survey Flow 1-1,true,
33,Project GET,200,OK,Normal Client - Survey Flow 1-1,true,
2630,Create Group,201,Created,Normal Client - Survey Flow 1-1,true,
6836,Group PUT,200,OK,Normal Client - Survey Flow 1-1,true,
128,Group GET,200,OK,Normal Client - Survey Flow 1-1,true,
264,Channel PUT,200,OK,Normal Client - Survey Flow 1-1,true,
97,Channel GET,200,OK,Normal Client - Survey Flow 1-1,true,
321,PanelDashboard,200,OK,Normal Client - Survey Flow 1-1,true,
434,PanelDashboard GET,200,OK,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to equal /

****** received  : {""panelDashboard"":{""displayNameForSurvey"":""Auto Test"",""displayOnChannels"":[""[[[0"",""usamp]]]""]}}

****** comparison: {""panelDashboard"":{""displayNameForSurvey"":""Auto Test"",""displayOnChannels"":[""[[[usamp"",""0]]]""]}}

/"
397,LiveCloseSettings,200,OK,Normal Client - Survey Flow 1-1,true,
268,LiveCloseSettings GET,200,OK,Normal Client - Survey Flow 1-1,true,
238,PanelShield,200,OK,Normal Client - Survey Flow 1-1,true,
117,PanelShield GET,200,OK,Normal Client - Survey Flow 1-1,true,
86,SurveyUrl,200,OK,Normal Client - Survey Flow 1-1,true,
40,SurveyUrl GET,200,OK,Normal Client - Survey Flow 1-1,true,
725,Status,200,OK,Normal Client - Survey Flow 1-1,true,
46,Status GET,200,OK,Normal Client - Survey Flow 1-1,true,
9862,Copy Project,201,Created,Normal Client - Survey Flow 1-1,true,
1614,Delete Project,200,OK,Normal Client - Survey Flow 1-1,true,
4166,/index.php,200,OK,Normal Client - Survey Flow 1-1,true,
5189,/dashboard.php,200,OK,Normal Client - Survey Flow 1-1,true,
139,Click Survey 1,302,Found,Normal Client - Survey Flow 1-1,true,
3124,Click Survey 2,200,OK,Normal Client - Survey Flow 1-1,true,
32,Redirect,302,Found,Normal Client - Survey Flow 1-1,true,
5129,/ssred.php,200,OK,Normal Client - Survey Flow 1-1,true,
2949,Dashboard after complete,200,OK,Normal Client - Survey Flow 1-1,true,
504,Status Close,200,OK,Normal Client - Survey Flow 1-1,true,
31,Status GET Close,200,OK,Normal Client - Survey Flow 1-1,true,
267,Stats,200,OK,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /""clickCount"":1/"
