timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1316169665300,322,Click Survey,200,OK,Success 1-1,text,true,686,322
1316169671128,558,Click Survey,200,OK,Success 1-8,text,true,686,558
1316169674737,214,Click Survey,200,OK,Success 1-5,text,true,686,214
1316169675581,383,Click Survey,200,OK,Success 1-3,text,true,686,383
1316169675925,569,Click Survey,200,OK,Success 1-14,text,true,686,569
1316169677550,346,Click Survey,200,OK,Success 1-11,text,true,686,346
1316169677769,408,Click Survey,200,OK,Success 1-12,text,true,686,408
1316169682925,471,Click Survey,200,OK,Success 1-15,text,true,686,471
1316169683816,291,Click Survey,200,OK,Success 1-19,text,true,686,291
1316169685019,404,Click Survey,200,OK,Success 1-17,text,true,686,404
1316169686941,448,Click Survey,200,OK,Success 1-16,text,true,686,448
1316169699300,390,Click Survey,200,OK,Success 1-4,text,true,686,390
1316169703706,411,Click Survey,200,OK,Success 1-20,text,true,686,411
1316169703691,468,Click Survey,200,OK,Success 1-10,text,true,686,468
1316169704831,405,Click Survey,200,OK,Success 1-2,text,true,686,405
1316169705394,421,Click Survey,200,OK,Success 1-9,text,true,686,421
1316169705425,414,Click Survey,200,OK,Success 1-6,text,true,686,414
1316169705628,238,Click Survey,200,OK,Success 1-7,text,true,686,238
1316169705409,629,Click Survey,200,OK,Success 1-18,text,true,686,629
1316169705487,664,Click Survey,200,OK,Success 1-13,text,true,686,664
1316169748362,234,Click Survey,200,OK,Success 1-1,text,true,686,234
1316169752112,319,Click Survey,200,OK,Success 1-16,text,true,686,319
1316169755034,262,Click Survey,200,OK,Success 1-5,text,true,686,262
1316169756534,217,Click Survey,200,OK,Success 1-19,text,true,686,217
1316169756753,287,Click Survey,200,OK,Success 1-12,text,true,686,287
1316169757472,371,Click Survey,200,OK,Success 1-3,text,true,686,371
1316169758081,235,Click Survey,200,OK,Success 1-14,text,true,686,235
1316169758831,269,Click Survey,200,OK,Success 1-11,text,true,686,269
1316169760300,378,Click Survey,200,OK,Success 1-8,text,true,686,378
1316169760628,330,Click Survey,200,OK,Success 1-17,text,true,686,330
1316169760753,281,Click Survey,200,OK,Success 1-15,text,true,686,281
1316169763175,243,Click Survey,200,OK,Success 1-7,text,true,686,243
1316169767050,272,Click Survey,200,OK,Success 1-20,text,true,686,272
1316169768050,307,Click Survey,200,OK,Success 1-13,text,true,686,307
